Investor ID,Name,Country of registration/origin,Classification,Investor homepage,Opencorporates link,Comment,Action comment
37174,Shonga Farm Holding Ltd,Nigeria,Private company,,,,
37175,Olam Nigeria Ltd,Nigeria,Private company,,,,
37179,Unknown (Samling Strategic Corporation Sdn. Bhd.),Indonesia,Private company,,,,
37180,PT Sarana Prima Multi Niaga,Indonesia,Private company,,,,
37181,PT Farinda Bersaudara,Indonesia,Private company,,,,
37182,PT Laras Internusa,Indonesia,Private company,,,,
37183,PT Teguh Swakarsa Sejahtera,Indonesia,Private company,,,,
37185,PT Bulungan Citra Agro Persada,Indonesia,Private company,,,,
37186,PT Mitra Jaya Cemerlang,Indonesia,Private company,,,,
37187,PT Munte Waniq Jaya Perkasa,Indonesia,Private company,,,,
37188,PT Bumi Sawit Sukses Pratama,Indonesia,Private company,,,,
37194,Sococim Senegal,Senegal,Private company,,,,
37202,Pomata Investment Ltd,Papua New Guinea,Private company,,,,
37203,Nakiura Investment Ltd,Papua New Guinea,Private company,,,,
37204,Ralopal Investment Ltd,Papua New Guinea,Private company,,,,
37205,Bewani Oil Palm Development Ltd,Papua New Guinea,Private company,,,,
37206,Unknown (Wewak Agriculture Development Ltd),Papua New Guinea,Private company,,,,
37208,Abeda Agro Forest Ltd,Papua New Guinea,Private company,,,,
37209,Polopo Limited,Papua New Guinea,Private company,,,,
37210,PT Andalas Wahana Berjaya,Indonesia,Private company,,,,
37211,COMPLANT Magbass Sugar Company,Sierra Leone,Private company,,,,
37212,Whitestone (SL) Limited,Sierra Leone,Private company,,,,
37213,PT GUNUNG SAWIT SELATAN LESTARI,Indonesia,Private company,,,,
37214,PT Pratama Palm Abadi,Indonesia,Private company,,,,
37215,PT Dapo Agro Makmur,Indonesia,Private company,,,,
37217,PT Graha Inti Jaya,Indonesia,Private company,,,,
37218,Société des Mines de Loulo SA (Loulo SA),Mali,Private company,,,,
37219,East Waii Oil Palm Limted,Papua New Guinea,Private company,,,,
37221,PT Rebinmas Jaya,Indonesia,Private company,,,,
37222,PT First Borneo Plantations,Indonesia,Private company,,,,
37223,Norteak Maderas,Nicaragua,Private company,,,,
37224,Mocoa Ventures Ltd,Colombia,Private company,,https://empresas.portafolio.co/MOCOA-VENTURES-LTD.html,,
37226,Aura Minerals Inc (in Mexico),Mexico,Private company,,,,
37228,Alamos Gold Inc.,Mexico,Private company,,,,
37230,Sociêtê de Mines de Syama S.A.,Mali,Private company,,,,
37231,PT Mitra Aneka Rezeki,Indonesia,Private company,,,,
37232,KPI Project,Indonesia,Private company,,,,
37233,PT Az Zhara,Indonesia,Private company,,,,
37234,Nuku Resources Limited,Papua New Guinea,Private company,,,,
37236,La-Ali Investments Limited,Papua New Guinea,Private company,,,,
37237,Mudau Investment Limited,Papua New Guinea,Private company,,,,
37238,Haubawe Holdings Limited,Papua New Guinea,Private company,,,,
37239,Foifoi Limited,Papua New Guinea,Private company,,,,
37241,"Unknown (Glencairm Gold Corporation, in Costa Rica, 37241)",Costa Rica,Private company,,,,
37242,Unung Sigite Limited,Papua New Guinea,Private company,,,,
37247,Almaden Minerals Ltd. in Mexico,Mexico,Private company,,,,
37250,"Unknown (GoGold Resources Inc., in Mexico, 37250)",Mexico,Private company,,,,
37251,"Unknown (Aurion Resources Ltd., in Mexico, 37251)",Mexico,Private company,,,,
37253,"Unknown (Capstone Mining Corp., in Mexico, 37253)",Mexico,Private company,,,,
37254,"Unknown (Corex Gold Co., in Mexico, 37254)",Mexico,Private company,,,,
37255,Corex - Goldcorp,Mexico,Private company,,,,
37256,San Marcos - Exeter,Mexico,Private company,,,,
37257,First Majestic Silver Corp.,Mexico,Private company,,,,
37260,First Majestic Silver Corp. in Mexico,Mexico,Private company,,,,
37261,Pan American Silver Corp. in Mexico,Mexico,Private company,,,,
37265,Jatropha Mali Initiative JMI,Mali,Private company,,,,
37266,Toriu Timbers Limited,Papua New Guinea,Private company,,,,
37267,Transformation Agritech Nigeria Limited (T4M),Nigeria,Private company,,,,
37268,"West Maimai Investment Limited, Yangkok Resources Limited, Palai Resources Limited",Papua New Guinea,Private company,,,,
37269,North East West Investments (NEWIL),Papua New Guinea,Private company,,,,
37270,Wammy Limited,Papua New Guinea,Private company,,,,
37271,Benso Oil Palm Plantation Ltd,Ghana,Private company,,,,
37272,Sucobe,Benin,Private company,,,,
37273,Comde Teak,South Sudan,Private company,,,,
37274,Ainbai-Elis Holding Limited,Papua New Guinea,Private company,,,,
37275,Urasir Resources Limited,Papua New Guinea,Private company,,,,
37276,PT Toton Usaha Mandiri,Indonesia,Private company,,,,
