Investor ID Downstream,Investor Name Downstream,Investor ID Upstream,Investor Name Upstream,Relation type,Investment type,Ownership share,Loan amount,Loan currency,Loan date,Comment
40616,"unknown (Department of Economic Development in Abu Dhabi (DED), the Food Security Centre — Abu Dhabi (FSCAD) and the Ministry of Agriculture, Animal Industry and Fisheries of Uganda)",40613,Department of Economic Development in Abu Dhabi (DED),Parent company,,,,,,
40616,"unknown (Department of Economic Development in Abu Dhabi (DED), the Food Security Centre — Abu Dhabi (FSCAD) and the Ministry of Agriculture, Animal Industry and Fisheries of Uganda)",40614,Food Security Centre — Abu Dhabi (FSCAD),Parent company,,,,,,
40616,"unknown (Department of Economic Development in Abu Dhabi (DED), the Food Security Centre — Abu Dhabi (FSCAD) and the Ministry of Agriculture, Animal Industry and Fisheries of Uganda)",40615,"Ministry of Agriculture, Animal Industry and Fisheries of Uganda",Parent company,,,,,,
40617,Kelmentsi Agro LLC,40618,Michael Matthias Heinrich,Parent company,,,,,,
40619,Agrofirma Rubansky LLC,40590,Ray Agro LLC,Parent company,,,,,,
40620,Agrofirma Shargorod LLC,40590,Ray Agro LLC,Parent company,,,,,,
40030,Latagroinvest LLC,40610,Zolotyi svitanok (Agro) LLC,Parent company,,,,,,
40053,Koloryt Agro LLC,40607,Bio Kray LLC,Parent company,,,,,,
40601,New Agro Invest LLC,40599,NAP II Holdings B. V.,Parent company,,,,,,
40602,Ukrzernoprom-Derezhnya LLC,40601,New Agro Invest LLC,Parent company,,,,,,
40621,Krayevyd Podillya LLC,40607,Bio Kray LLC,Parent company,,,,,,
40622,MP Alpha LLC,40590,Ray Agro LLC,Parent company,,,,,,
40623,Polonne Agro LLC,40590,Ray Agro LLC,Parent company,,,,,,
40624,Korostyshivzeminvest LLC,40590,Ray Agro LLC,Parent company,,,,,,
40625,AGRISER d.o.o.,4422,Ferrero Trading Lux S.A.,Parent company,,,,,,
40627,Nisela Safaris,40626,Unknown (Nisela Safaris),Parent company,,,,,,
40629,Nisela Farms (Pty) Ltd,40628,Unknown (Nisela Farms (Pty) Ltd),Parent company,,,,,,
40633,Eng Huat Industries Ltd,40632,Eng Huat Industires PTE Ltd,Parent company,,,,,,
40636,Kipeto Energy Limited Company (KEL),40634,Actis Capital LLP,Parent company,,,,,,
40636,Kipeto Energy Limited Company (KEL),40635,Craftskills Wind Energy International of Kenya,Parent company,,,,,,
40636,Kipeto Energy Limited Company (KEL),40637,Overseas Private Investment Corporation,Tertiary investor/lender,,,,,,
40639,Nosivka Agro LLC,40571,Lany Agro LLC,Parent company,,,,,,
40640,Nizhyn Agro LLC,40571,Lany Agro LLC,Parent company,,,,,,
40641,Bakhmach Agro LLC,40571,Lany Agro LLC,Parent company,,,,,,
40642,Semenivka Agro LLC,40590,Ray Agro LLC,Parent company,,,,,,
38646,HarvEast Holding Limited,3531,Smart Holding,Parent company,,,,,,
38646,HarvEast Holding Limited,3530,System Capital Management (SCM),Parent company,,,,,,
40638,Agroholdyng MS,38646,HarvEast Holding Limited,Parent company,,,,,,
40643,Glukhiv-Agroinvest LLC,40571,Lany Agro LLC,Parent company,,,,,,
40647,San Miguel Holdings Corp.,437,San Miguel Corp.,Parent company,,,,,,
40649,Sicogon Development Corporation,40648,Ayala Land Inc.,Parent company,,,,,,
40652,Unknown operating company (#162590),40651,Semirara Mining and Power Corporation,Parent company,,,,,,
40654,Unknown operating company (#162592),40653,Philippine Bases Conversion and Development Authority,Parent company,,,,,,
40655,Karla Marksa-2 PE,40590,Ray Agro LLC,Parent company,,,,,,
40656,Vorozhbalatinvest LLC,40590,Ray Agro LLC,Parent company,,,,,,
40658,Ryasnyanske LLC,40590,Ray Agro LLC,Parent company,,,,,,
3817,SALIC (Saudi Agriculture and Livestock Co),3112,Public Investment Fund (PIF) of Saudi Arabia,Parent company,,,,,,
40505,SALIC UK Ltd,3817,SALIC (Saudi Agriculture and Livestock Co),Parent company,,,,,,
40661,Ukrlatagro LLC,40610,Zolotyi svitanok (Agro) LLC,Parent company,,,,,,
40663,Agrotop LLC,40610,Zolotyi svitanok (Agro) LLC,Parent company,,,,,,
40665,Kelagers Investments Limited,3521,NCH Capital Inc.,Parent company,,,,,,
40666,Charivnyi svitanok LLC,40665,Kelagers Investments Limited,Parent company,,,,,,
40664,"PALE ""Zorya""",40666,Charivnyi svitanok LLC,Parent company,,,,,,
40667,Agrolatinvest LLC,40610,Zolotyi svitanok (Agro) LLC,Parent company,,,,,,
