Number,Item Group Code,Item Group,Category,Source,Crop category,Uses,Comment,Item Code,Item,Categorized?,Review,Factor,HS Code,HS07 Code,HS12 Code,CPC Code,Origin of data
409,1882,"Agricult.Products,Total",Vegetable oil,Sunflower Seed,Commodity crops,,,268,"Oil, sunflower",Yes,,1,,"151211, 151219","151211, 151219",21631.01,"From ""item group"" in trade definitions"
410,1882,"Agricult.Products,Total",Vegetable oil,"Oil, tung nuts",Other crops,,,276,"Oil, tung nuts",No,,1,,151590,151590,21691.05,"From ""item group"" in trade definitions"
411,1882,"Agricult.Products,Total",Vegetable oil,"Oil, vegetable origin nes",Other crops,,,340,"Oil, vegetable origin nes",No,,1,,"150990, 151590","150990, 151590",21691.9,"From ""item group"" in trade definitions"
412,1882,"Agricult.Products,Total",Animal oil,"Oils, fats of animal nes",Non crops,,,1168,"Oils, fats of animal nes",No,,1,,150600,150600,21529.03,"From ""item group"" in trade definitions"
413,1882,"Agricult.Products,Total",Oilseeds,Oilseeds nes,Other crops,,,339,Oilseeds nes,No,,1,,120799,120799,1449.9,"From ""item group"" in trade definitions"
414,1882,"Agricult.Products,Total",Vegetables,Okra,Other crops,,,430,Okra,No,,1,,70990,70999,1239.01,"From ""item group"" in trade definitions"
415,1882,"Agricult.Products,Total",Fodder,Olive residues,Other crops,,,273,Olive residues,No,,1,,230690,230690,21910.09,"From ""item group"" in trade definitions"
416,1882,"Agricult.Products,Total",Vegetables,Olives,Other crops,,,260,Olives,No,,1,,70990,70992,1450,"From ""item group"" in trade definitions"
417,1882,"Agricult.Products,Total",Vegetables,Olives preserved,Other crops,,,262,Olives preserved,No,,1,,"071120, 200190, 200490, 200570","071120, 200190, 200490, 200570",F0262,"From ""item group"" in trade definitions"
418,1882,"Agricult.Products,Total",Vegetables,"Onions, dry",Other crops,,,403,"Onions, dry",No,,1,,70310,70310,1253.02,"From ""item group"" in trade definitions"
419,1882,"Agricult.Products,Total",Vegetables,"Onions, shallots, green",Other crops,,,402,"Onions, shallots, green",No,,1,,70310,70310,1253.01,"From ""item group"" in trade definitions"
420,1882,"Agricult.Products,Total",Fruits,Oranges,Other crops,,,490,Oranges,No,,1,,80510,80510,1323,"From ""item group"" in trade definitions"
421,1882,"Agricult.Products,Total",Oilseeds,Oil Palm,Flex crops,,,256,Palm kernels,Yes,,1,,120999,120999,1491.02,"From ""item group"" in trade definitions"
422,1882,"Agricult.Products,Total",Fruits,Papayas,Other crops,,,600,Papayas,No,,1,,80720,80720,1317,"From ""item group"" in trade definitions"
423,1882,"Agricult.Products,Total",Cereals,Pastry,Other crops,,,22,Pastry,No,,1,,"190520, 190531, 190532, 190540, 190590","190520, 190531, 190532, 190540, 190590",F0022,"From ""item group"" in trade definitions"
424,1882,"Agricult.Products,Total",Fruits,Peaches and nectarines,Other crops,,,534,Peaches and nectarines,No,,1,,80930,80930,1345,"From ""item group"" in trade definitions"
425,1882,"Agricult.Products,Total",Processed foods,Groundnut,Other crops,,,247,Peanut butter,Yes,,1,,200811,200811,21495.02,"From ""item group"" in trade definitions"
426,1882,"Agricult.Products,Total",Fruits,Pears,Other crops,,,521,Pears,No,,1,,80820,80830,1342.01,"From ""item group"" in trade definitions"
427,1882,"Agricult.Products,Total",Fruits,"Peas, dry",Other crops,,,187,"Peas, dry",No,,1,,71310,71310,1705,"From ""item group"" in trade definitions"
428,1882,"Agricult.Products,Total",Fruits,"Peas, green",Other crops,,,417,"Peas, green",No,,1,,70810,70810,1242,"From ""item group"" in trade definitions"
429,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Pepper (piper spp.),Other crops,,,687,Pepper (piper spp.),No,,1,,"090411, 090412","090411, 090412",1651,"From ""item group"" in trade definitions"
430,1882,"Agricult.Products,Total",Fruits,Persimmons,Other crops,,,587,Persimmons,No,,1,,81090,81070,1359.01,"From ""item group"" in trade definitions"
431,1882,"Agricult.Products,Total",Fodder,Pet food,Other crops,,,843,Pet food,No,,1,,230910,230910,23311,"From ""item group"" in trade definitions"
432,1882,"Agricult.Products,Total",Pulses,Pigeon peas,Other crops,,,197,Pigeon peas,No,,1,,71390,71360,1707,"From ""item group"" in trade definitions"
433,1882,"Agricult.Products,Total",Animals,"Pigeons, other birds",Non crops,,,1083,"Pigeons, other birds",No,,1,,"010631, 010632, 010639","010631, 010632, 010639",2194,"From ""item group"" in trade definitions"
434,1882,"Agricult.Products,Total",Animals,Pigs,Non crops,,,1034,Pigs,No,,1,,"010310, 010391, 010392","010310, 010391, 010392",2140,"From ""item group"" in trade definitions"
435,1882,"Agricult.Products,Total",Fruits,Pineapples,Other crops,,,574,Pineapples,Yes,,1,,80430,80430,1318,"From ""item group"" in trade definitions"
436,1882,"Agricult.Products,Total",Fruits,Pineapples,Other crops,,,575,Pineapples canned,Yes,,1,,200820,200820,21491,"From ""item group"" in trade definitions"
437,1882,"Agricult.Products,Total",Nuts,Pistachios,Other crops,,,223,Pistachios,No,,1,,80250,"080251, 080252",1375,"From ""item group"" in trade definitions"
438,1882,"Agricult.Products,Total",Vegetables,Plantains and others,Other crops,,,489,Plantains and others,No,,1,,80300,80310,1313,"From ""item group"" in trade definitions"
439,1882,"Agricult.Products,Total",Fruits,Plums and sloes,Other crops,,,536,Plums and sloes,No,,1,,80940,80940,1346,"From ""item group"" in trade definitions"
440,1882,"Agricult.Products,Total",Fruits,Plums dried (prunes),Other crops,,,537,Plums dried (prunes),No,,1,,81320,81320,21412,"From ""item group"" in trade definitions"
441,1882,"Agricult.Products,Total",Cereals,Popcorn,Other crops,,,68,Popcorn,Yes,,1,,"100510, 100590","100510, 100590",,"From ""item group"" in trade definitions"
442,1882,"Agricult.Products,Total",Oilseeds,Poppy seed,Other crops,,,296,Poppy seed,No,,1,,120791,120791,1448,"From ""item group"" in trade definitions"
443,1882,"Agricult.Products,Total",Fodder,Potato offals,Other crops,,,120,Potato offals,No,,1,,230800,230800,39130.03,"From ""item group"" in trade definitions"
444,1882,"Agricult.Products,Total",Roots and tubers,Potatoes,Other crops,,,116,Potatoes,No,,1,,"070110, 070190","070110, 070190",1510,"From ""item group"" in trade definitions"
445,1882,"Agricult.Products,Total",Roots and tubers,"Potatoes, frozen",Other crops,,,118,"Potatoes, frozen",No,,1,,71010,71010,21313,"From ""item group"" in trade definitions"
446,1882,"Agricult.Products,Total",Pulses,"Pulses, nes",Other crops,,,211,"Pulses, nes",No,,1,,71390,71390,1709.9,"From ""item group"" in trade definitions"
447,1882,"Agricult.Products,Total",Vegetables,"Pumpkins, squash and gourds",Other crops,,,394,"Pumpkins, squash and gourds",No,,1,,70990,70993,1235,"From ""item group"" in trade definitions"
448,1882,"Agricult.Products,Total",Fruits,Quinces,Other crops,,,523,Quinces,No,,1,,80820,80840,1342.02,"From ""item group"" in trade definitions"
449,1882,"Agricult.Products,Total",Cereals,Quinoa,Other crops,,,92,Quinoa,No,,1,,100890,100850,1194,"From ""item group"" in trade definitions"
450,1882,"Agricult.Products,Total",Animals,Rabbits and hares,Non crops,,,1140,Rabbits and hares,No,,1,,10619,10614,2191,"From ""item group"" in trade definitions"
451,1882,"Agricult.Products,Total",Fruits,Raisins,Other crops,,,561,Raisins,No,,1,,80620,80620,21411,"From ""item group"" in trade definitions"
452,1882,"Agricult.Products,Total",Non-food,Ramie,Other crops,,,788,Ramie,No,,1,,530500,530500,1929.04,"From ""item group"" in trade definitions"
453,1882,"Agricult.Products,Total",Oilseeds,Rapeseed,Commodity crops,Multiple,,270,Rapeseed,Yes,,1,,"120510, 120590","120510, 120590",1443,"From ""item group"" in trade definitions"
454,1882,"Agricult.Products,Total",Fruits,Raspberries,Other crops,,,547,Raspberries,Yes,,1,,81020,81020,1353.01,"From ""item group"" in trade definitions"
455,1882,"Agricult.Products,Total",Rice,Rice,Commodity crops,,,32,"Rice, broken",Yes,,1,,100640,100640,23161.03,"From ""item group"" in trade definitions"
456,1882,"Agricult.Products,Total",Rice,Rice,Commodity crops,,,28,"Rice, husked",Yes,,1,,100620,100620,23162,"From ""item group"" in trade definitions"
457,1882,"Agricult.Products,Total",Rice,Rice,Commodity crops,,,31,"Rice, milled",Yes,,1,,100630,100630,23161.02,"From ""item group"" in trade definitions"
458,1882,"Agricult.Products,Total",Rice,Rice,Commodity crops,,,29,"Rice, milled/husked",Yes,,1,,100630,100630,23161.01,"From ""item group"" in trade definitions"
459,1882,"Agricult.Products,Total",Rice,Rice,Commodity crops,,,27,"Rice, paddy",Yes,,1,,100610,100610,113,"From ""item group"" in trade definitions"
460,1882,"Agricult.Products,Total",Animals,"Rodents, other",Non crops,,,1150,"Rodents, other",No,,1,,10619,10619,2192.01,"From ""item group"" in trade definitions"
461,1882,"Agricult.Products,Total",Roots and tubers,Roots and tubers dried,Other crops,,,151,Roots and tubers dried,No,,1,,71490,71490,1599.2,"From ""item group"" in trade definitions"
462,1882,"Agricult.Products,Total",Roots and tubers,"Roots and tubers, nes",Other crops,,,149,"Roots and tubers, nes",No,,1,,71490,71490,1599.1,"From ""item group"" in trade definitions"
463,1882,"Agricult.Products,Total",Non-food,Rubber,Commodity crops,,,837,Rubber natural dry,Yes,,1,,"400121, 400122, 400129","400121, 400122, 400129",1950.02,"From ""item group"" in trade definitions"
464,1882,"Agricult.Products,Total",Non-food,Rubber,Commodity crops,,,836,"Rubber, natural",Yes,,1,,400110,400110,1950.01,"From ""item group"" in trade definitions"
465,1882,"Agricult.Products,Total",Cereals,Rye,Other crops,,,71,Rye,Yes,,1,,100200,"100210, 100290",116,"From ""item group"" in trade definitions"
466,1882,"Agricult.Products,Total",Oilseeds,Safflower seed,Other crops,,,280,Safflower seed,No,,1,,120799,120760,1446,"From ""item group"" in trade definitions"
467,1882,"Agricult.Products,Total",Oilseeds,Sesame seed,Other crops,,,289,Sesame seed,Yes,,1,,120740,120740,1444,"From ""item group"" in trade definitions"
468,1882,"Agricult.Products,Total",Animals,Sheep,Non crops,,,976,Sheep,No,,1,,10410,10410,2122,"From ""item group"" in trade definitions"
469,1882,"Agricult.Products,Total",Non-food,Silk raw,Non crops,,,1186,Silk raw,No,,1,,500200,500200,26110,"From ""item group"" in trade definitions"
470,1882,"Agricult.Products,Total",Non-food,"Silk-worm cocoons, reelable",Non crops,,,1185,"Silk-worm cocoons, reelable",No,,1,,500100,500100,2944,"From ""item group"" in trade definitions"
471,1882,"Agricult.Products,Total",Non-food,Sisal,Other crops,,,789,Sisal,No,,1,,530500,530500,1929.05,"From ""item group"" in trade definitions"
472,1882,"Agricult.Products,Total",Non-food,"Skins, calve, dry salted",Non crops,,,929,"Skins, calve, dry salted",No,,1,,"410120, 410150, 410190","410120, 410150, 410190",2951.07,"From ""item group"" in trade definitions"
473,1882,"Agricult.Products,Total",Non-food,"Skins, calve, nes",Non crops,,,930,"Skins, calve, nes",No,,1,,"410120, 410150, 410190","410120, 410150, 410190",2951.92,"From ""item group"" in trade definitions"
474,1882,"Agricult.Products,Total",Non-food,"Skins, calve, wet salted",Non crops,,,928,"Skins, calve, wet salted",No,,1,,"410120, 410150, 410190","410120, 410150, 410190",2951.06,"From ""item group"" in trade definitions"
475,1882,"Agricult.Products,Total",Non-food,"Skins, furs",Non crops,,,1195,"Skins, furs",No,,1,,"430110, 430160, 430180, 430190","430110, 430160, 430180, 430190",2955.9,"From ""item group"" in trade definitions"
476,1882,"Agricult.Products,Total",Non-food,"Skins, goat, dry salted",Non crops,,,1027,"Skins, goat, dry salted",No,,1,,410390,410390,2954.02,"From ""item group"" in trade definitions"
477,1882,"Agricult.Products,Total",Non-food,"Skins, goat, fresh",Non crops,,,1025,"Skins, goat, fresh",No,,1,,410390,410390,2954,"From ""item group"" in trade definitions"
478,1882,"Agricult.Products,Total",Non-food,"Skins, goat, nes",Non crops,,,1028,"Skins, goat, nes",No,,1,,410390,410390,2954.9,"From ""item group"" in trade definitions"
479,1882,"Agricult.Products,Total",Non-food,"Skins, goat, wet salted",Non crops,,,1026,"Skins, goat, wet salted",No,,1,,410390,410390,2954.01,"From ""item group"" in trade definitions"
480,1882,"Agricult.Products,Total",Non-food,"Skins, karakul",Non crops,,,1002,"Skins, karakul",No,,1,,430130,430130,2955.01,"From ""item group"" in trade definitions"
481,1882,"Agricult.Products,Total",Non-food,"Skins, pig, dry salted",Non crops,,,1046,"Skins, pig, dry salted",No,,1,,410330,410330,2959.04,"From ""item group"" in trade definitions"
482,1882,"Agricult.Products,Total",Non-food,"Skins, pig, nes",Non crops,,,1047,"Skins, pig, nes",No,,1,,410330,410330,2959.05,"From ""item group"" in trade definitions"
483,1882,"Agricult.Products,Total",Non-food,"Skins, pig, wet salted",Non crops,,,1045,"Skins, pig, wet salted",No,,1,,410330,410330,2959.03,"From ""item group"" in trade definitions"
484,1882,"Agricult.Products,Total",Non-food,"Skins, rabbit",Non crops,,,1146,"Skins, rabbit",No,,1,,430180,430180,2955.02,"From ""item group"" in trade definitions"
485,1882,"Agricult.Products,Total",Non-food,"Skins, sheep, dry salted",Non crops,,,997,"Skins, sheep, dry salted",No,,1,,410229,410229,2953.04,"From ""item group"" in trade definitions"
486,1882,"Agricult.Products,Total",Non-food,"Skins, sheep, fresh",Non crops,,,995,"Skins, sheep, fresh",No,,1,,"410210, 410229","410210, 410229",2953,"From ""item group"" in trade definitions"
487,1882,"Agricult.Products,Total",Non-food,"Skins, sheep, nes",Non crops,,,998,"Skins, sheep, nes",No,,1,,"410221, 410229","410221, 410229",2953.9,"From ""item group"" in trade definitions"
488,1882,"Agricult.Products,Total",Non-food,"Skins, sheep, wet salted",Non crops,,,996,"Skins, sheep, wet salted",No,,1,,410229,410229,2953.03,"From ""item group"" in trade definitions"
489,1882,"Agricult.Products,Total",Non-food,"Skins, sheep, with wool",Non crops,,,999,"Skins, sheep, with wool",No,,1,,410210,410210,2953.01,"From ""item group"" in trade definitions"
490,1882,"Agricult.Products,Total",Cereals,Sorghum,Commodity crops,,,83,Sorghum,Yes,,1,,100700,"100710, 100790",114,"From ""item group"" in trade definitions"
491,1882,"Agricult.Products,Total",Processed foods,Soybeans,Flex crops,,,241,Soya curd,Yes,,1,,210610,210610,23999.03,"From ""item group"" in trade definitions"
492,1882,"Agricult.Products,Total",Processed foods,Soybeans,Flex crops,,,240,Soya paste,Yes,,1,,"210390, 210610","210390, 210610",23995.02,"From ""item group"" in trade definitions"
493,1882,"Agricult.Products,Total",Processed foods,Soybeans,Flex crops,,,239,Soya sauce,Yes,,1,,210310,210310,23995.01,"From ""item group"" in trade definitions"
494,1882,"Agricult.Products,Total",Oilseeds,Soybeans,Flex crops,,,236,Soybeans,Yes,,1,,120100,"120110, 120190",141,"From ""item group"" in trade definitions"
495,1882,"Agricult.Products,Total",Miscellaneous,Spermaceti,Non crops,,,1295,Spermaceti,No,,1,,152190,152190,2960.02,"From ""item group"" in trade definitions"
496,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,"Spices, nes",Other crops,,,723,"Spices, nes",No,,1,,"091020, 091030, 091091, 091099","091020, 091030, 091091, 091099",1699,"From ""item group"" in trade definitions"
497,1882,"Agricult.Products,Total",Vegetables,Spinach,Other crops,,,373,Spinach,No,,1,,70970,70970,1215,"From ""item group"" in trade definitions"
498,1882,"Agricult.Products,Total",Fodder,Straw husks,Other crops,,,635,Straw husks,No,,1,,121300,121300,1913,"From ""item group"" in trade definitions"
499,1882,"Agricult.Products,Total",Fruits,Strawberries,Other crops,,,544,Strawberries,Yes,,1,,81010,81010,1354,"From ""item group"" in trade definitions"
500,1882,"Agricult.Products,Total",Vegetables,String beans,Other crops,,,423,String beans,Yes,,1,,70820,70820,1241.01,"From ""item group"" in trade definitions"
501,1882,"Agricult.Products,Total",Sugars,Sugar beet,Other crops,,,157,Sugar beet,Yes,,1,,121291,121291,1801,"From ""item group"" in trade definitions"
502,1882,"Agricult.Products,Total",Sugars,Sugar cane,Flex crops,,,156,Sugar cane,Yes,,1,,121299,121293,1802,"From ""item group"" in trade definitions"
503,1882,"Agricult.Products,Total",Sugars,Sugar confectionery,Other crops,,,168,Sugar confectionery,No,,1,,"170410, 170490","170410, 170490",23670.01,"From ""item group"" in trade definitions"
504,1882,"Agricult.Products,Total",Sugars,"Sugar crops, nes",Other crops,,,161,"Sugar crops, nes",No,,1,,121299,121299,1809,"From ""item group"" in trade definitions"
505,1882,"Agricult.Products,Total",Sugars,Sugar cane,Flex crops,,,163,Sugar non-centrifugal,Yes,,1,,170111,170113,23511.02,"From ""item group"" in trade definitions"
506,1882,"Agricult.Products,Total",Sugars,Sugar Raw Centrifugal,Other crops,,,162,Sugar Raw Centrifugal,No,,1,,"170111, 170112","170112, 170114",2351f,"From ""item group"" in trade definitions"
507,1882,"Agricult.Products,Total",Sugars,Sugar refined,Other crops,,,164,Sugar refined,No,,1,,"170191, 170199","170191, 170199",23520,"From ""item group"" in trade definitions"
508,1882,"Agricult.Products,Total",Sugars,"Sugar, nes",Other crops,,,167,"Sugar, nes",No,,1,,170290,170290,23210.04,"From ""item group"" in trade definitions"
509,1882,"Agricult.Products,Total",Oilseeds,Sunflower Seed,Commodity crops,,,267,Sunflower seed,Yes,,1,,120600,120600,1445,"From ""item group"" in trade definitions"
510,1882,"Agricult.Products,Total",Fodder,Swedes for fodder,Other crops,,,649,Swedes for fodder,No,,1,,121490,121490,1919.08,"From ""item group"" in trade definitions"
511,1882,"Agricult.Products,Total",Vegetables,Sweet corn frozen,Other crops,,,447,Sweet corn frozen,No,,1,,71040,71040,21319.01,"From ""item group"" in trade definitions"
512,1882,"Agricult.Products,Total",Vegetables,Sweet corn prep or preserved,Other crops,,,448,Sweet corn prep or preserved,No,,1,,200580,200580,21399.03,"From ""item group"" in trade definitions"
513,1882,"Agricult.Products,Total",Roots and tubers,Sweet potatoes,Other crops,,,122,Sweet potatoes,No,,1,,71420,71420,1530,"From ""item group"" in trade definitions"
514,1882,"Agricult.Products,Total",Animal oil,Tallow,Non crops,,,1225,Tallow,No,,1,,150200,150210,21523,"From ""item group"" in trade definitions"
515,1882,"Agricult.Products,Total",Fruits,"Tangerines, mandarins, clementines, satsumas",Other crops,,,495,"Tangerines, mandarins, clementines, satsumas",No,,1,,80520,80520,1324,"From ""item group"" in trade definitions"
516,1882,"Agricult.Products,Total",Roots and tubers,Cassava,Flex crops,,,127,"Tapioca, cassava",Yes,,1,,190300,190300,23230.02,"From ""item group"" in trade definitions"
517,1882,"Agricult.Products,Total",Roots and tubers,"Tapioca, potatoes",Other crops,,,121,"Tapioca, potatoes",No,,1,,190300,190300,23230.01,"From ""item group"" in trade definitions"
518,1882,"Agricult.Products,Total",Vegetables,Taro (cocoyam),Other crops,,,136,Taro (cocoyam),No,,1,,71490,71440,1550,"From ""item group"" in trade definitions"
519,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Tea,Commodity crops,,,667,Tea,Yes,,1,,"090210, 090220, 090230, 090240","090210, 090220, 090230, 090240",1620,"From ""item group"" in trade definitions"
520,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Tea,Commodity crops,,,672,"Tea, mate extracts",Yes,,1,,210120,210120,23914,"From ""item group"" in trade definitions"
521,1882,"Agricult.Products,Total",Alcohol+Tobacco,Tobacco,Commodity crops,,,831,Tobacco products nes,Yes,,1,,"240310, 240391, 240399","240310, 240391, 240399",25090,"From ""item group"" in trade definitions"
522,1882,"Agricult.Products,Total",Alcohol+Tobacco,Tobacco,Commodity crops,,,826,"Tobacco, unmanufactured",Yes,,1,,"240110, 240120, 240130","240110, 240120, 240130",1970,"From ""item group"" in trade definitions"
523,1882,"Agricult.Products,Total",Vegetables,Tomatoes,Other crops,,,388,Tomatoes,No,,1,,70200,70200,1234,"From ""item group"" in trade definitions"
524,1882,"Agricult.Products,Total",Vegetables,"Tomatoes, paste",Other crops,,,391,"Tomatoes, paste",No,,1,,200290,200290,21399.01,"From ""item group"" in trade definitions"
525,1882,"Agricult.Products,Total",Vegetables,"Tomatoes, peeled",Other crops,,,392,"Tomatoes, peeled",No,,1,,200210,200210,21399.02,"From ""item group"" in trade definitions"
526,1882,"Agricult.Products,Total",Cereals,Triticale,Other crops,,,97,Triticale,No,,1,,100890,100860,1191,"From ""item group"" in trade definitions"
527,1882,"Agricult.Products,Total",Oilseeds,Tung nuts,Other crops,,,275,Tung nuts,No,,1,,120799,120799,1499.02,"From ""item group"" in trade definitions"
528,1882,"Agricult.Products,Total",Animals,Turkeys,Non crops,,,1079,Turkeys,No,,1,,"010512, 010599","010512, 010599",2152,"From ""item group"" in trade definitions"
529,1882,"Agricult.Products,Total",Fodder,Turnips for fodder,Other crops,,,646,Turnips for fodder,No,,1,,121490,121490,1919.05,"From ""item group"" in trade definitions"
530,1882,"Agricult.Products,Total",Coffee+cocoa+tea+spices,Vanilla,Other crops,,,692,Vanilla,No,,1,,90500,"090510, 090520",1658,"From ""item group"" in trade definitions"
531,1882,"Agricult.Products,Total",Vegetable oil,Vegetable tallow,Other crops,,,306,Vegetable tallow,No,,1,,151590,151590,21691.09,"From ""item group"" in trade definitions"
532,1882,"Agricult.Products,Total",Fodder,Vegetables and roots fodder,Other crops,,,655,Vegetables and roots fodder,No,,1,,121490,121490,1919.95,"From ""item group"" in trade definitions"
533,1882,"Agricult.Products,Total",Vegetables,Vegetables in vinegar,Other crops,,,471,Vegetables in vinegar,No,,1,,"200110, 200190","200110, 200190",21340,"From ""item group"" in trade definitions"
534,1882,"Agricult.Products,Total",Vegetables,"Vegetables, dehydrated",Other crops,,,469,"Vegetables, dehydrated",No,,1,,"071220, 071290","071220, 071290",21393.9,"From ""item group"" in trade definitions"
535,1882,"Agricult.Products,Total",Vegetables,"Vegetables, fresh nes",Other crops,,,463,"Vegetables, fresh nes",No,,1,,"070690, 070940, 070990","070690, 070940, 070999",1290.9,"From ""item group"" in trade definitions"
536,1882,"Agricult.Products,Total",Vegetables,"Vegetables, fresh or dried products nes",Other crops,,,460,"Vegetables, fresh or dried products nes",No,,1,,121299,121299,1990.01,"From ""item group"" in trade definitions"
537,1882,"Agricult.Products,Total",Vegetables,"Vegetables, frozen",Other crops,,,473,"Vegetables, frozen",No,,1,,"071021, 071022, 071029, 071030, 071080, 071090","071021, 071022, 071029, 071030, 071080, 071090",F0473,"From ""item group"" in trade definitions"
538,1882,"Agricult.Products,Total",Vegetables,"Vegetables, homogenized preparations",Other crops,,,476,"Vegetables, homogenized preparations",No,,1,,200510,200510,23991.02,"From ""item group"" in trade definitions"
539,1882,"Agricult.Products,Total",Vegetables,"Vegetables, leguminous nes",Other crops,,,420,"Vegetables, leguminous nes",No,,1,,70890,70890,1243,"From ""item group"" in trade definitions"
540,1882,"Agricult.Products,Total",Vegetables,"Vegetables, preserved nes",Other crops,,,472,"Vegetables, preserved nes",No,,1,,"200520, 200540, 200551, 200559, 200560, 200591, 200599","200520, 200540, 200551, 200559, 200560, 200591, 200599",F0472,"From ""item group"" in trade definitions"
541,1882,"Agricult.Products,Total",Vegetables,"Vegetables, preserved, frozen",Other crops,,,475,"Vegetables, preserved, frozen",No,,1,,"200410, 200490","200410, 200490",F0475,"From ""item group"" in trade definitions"
542,1882,"Agricult.Products,Total",Vegetables,"Vegetables, temporarily preserved",Other crops,,,474,"Vegetables, temporarily preserved",No,,1,,"071140, 071151, 071159, 071190","071140, 071151, 071159, 071190",21330.9,"From ""item group"" in trade definitions"
543,1882,"Agricult.Products,Total",Alcohol+Tobacco,Vermouths & similar,Other crops,,,565,Vermouths & similar,No,,1,,"220510, 220590","220510, 220590",24220,"From ""item group"" in trade definitions"
544,1882,"Agricult.Products,Total",Fodder,Vetches,Other crops,,,205,Vetches,No,,1,,121490,121490,1709.01,"From ""item group"" in trade definitions"
545,1882,"Agricult.Products,Total",Fodder,Vitamins,Other crops,,,853,Vitamins,No,,1,,230990,230990,23319.09,"From ""item group"" in trade definitions"
546,1882,"Agricult.Products,Total",Cereals,Wafers,Other crops,,,110,Wafers,No,,1,,190590,190590,23490.01,"From ""item group"" in trade definitions"
547,1882,"Agricult.Products,Total",Nuts,"Walnuts, shelled",Other crops,,,232,"Walnuts, shelled",No,,1,,80232,80232,21429.02,"From ""item group"" in trade definitions"
548,1882,"Agricult.Products,Total",Nuts,"Walnuts, with shell",Other crops,,,222,"Walnuts, with shell",No,,1,,80231,80231,1376,"From ""item group"" in trade definitions"
549,1882,"Agricult.Products,Total",Fruits,Watermelons,Other crops,,,567,Watermelons,No,,1,,80711,80711,1221,"From ""item group"" in trade definitions"
550,1882,"Agricult.Products,Total",Beverages,"Waters,ice etc",Non crops,,"Grapes together with water in ""Beverages"" ok?",631,"Waters,ice etc",No,,1,,"220110, 220190","220110, 220190",17400,"From ""item group"" in trade definitions"
551,1882,"Agricult.Products,Total",Non-food,Waxes vegetable,Other crops,,,1296,Waxes vegetable,No,,1,,152110,152110,21931,"From ""item group"" in trade definitions"
552,1882,"Agricult.Products,Total",Cereals,Wheat,Commodity crops,,,15,Wheat,Yes,,1,,"100110, 100190","100111, 100119, 100191, 100199",111,"From ""item group"" in trade definitions"
553,1882,"Agricult.Products,Total",Dairy products+eggs,"Whey, cheese",Non crops,,,905,"Whey, cheese",No,,1,,40610,40610,22251.03,"From ""item group"" in trade definitions"
554,1882,"Agricult.Products,Total",Dairy products+eggs,"Whey, condensed",Non crops,,,890,"Whey, condensed",No,,1,,40410,40410,22130.03,"From ""item group"" in trade definitions"
555,1882,"Agricult.Products,Total",Dairy products+eggs,"Whey, dry",Non crops,,,900,"Whey, dry",No,,1,,40410,40410,22130.02,"From ""item group"" in trade definitions"
556,1882,"Agricult.Products,Total",Dairy products+eggs,"Whey, fresh",Non crops,,,903,"Whey, fresh",No,,1,,40410,40410,22130.01,"From ""item group"" in trade definitions"
557,1882,"Agricult.Products,Total",Alcohol+Tobacco,Wine,Other crops,,,564,Wine,No,,1,,"220410, 220421, 220429","220410, 220421, 220429",24212.02,"From ""item group"" in trade definitions"
558,1882,"Agricult.Products,Total",Non-food,"Wool, degreased",Non crops,,,988,"Wool, degreased",No,,1,,"510121, 510129, 510130","510121, 510129, 510130",26130,"From ""item group"" in trade definitions"
559,1882,"Agricult.Products,Total",Non-food,"Wool, greasy",Non crops,,,987,"Wool, greasy",No,,1,,"510111, 510119","510111, 510119",2941,"From ""item group"" in trade definitions"
560,1882,"Agricult.Products,Total",Non-food,"Wool, hair waste",Non crops,,,1009,"Wool, hair waste",No,,1,,"510310, 510320, 510330","510310, 510320, 510330",F1009,"From ""item group"" in trade definitions"
561,1882,"Agricult.Products,Total",Non-food,"Wool, shoddy",Non crops,,,1007,"Wool, shoddy",No,,1,,510400,510400,39213,"From ""item group"" in trade definitions"
562,1882,"Agricult.Products,Total",Roots and tubers,Yams,Other crops,,,137,Yams,No,,1,,71490,71430,1540,"From ""item group"" in trade definitions"
563,1882,"Agricult.Products,Total",Vegetables,Yautia (cocoyam),Other crops,,,135,Yautia (cocoyam),No,,1,,71490,71450,1591,"From ""item group"" in trade definitions"
564,1882,"Agricult.Products,Total",Dairy products+eggs,Yoghurt,Non crops,,,891,Yoghurt,No,,1,,40310,40310,22230.01,"From ""item group"" in trade definitions"
565,1882,"Agricult.Products,Total",Dairy products+eggs,"Yoghurt, concentrated or not",Non crops,,,892,"Yoghurt, concentrated or not",No,,1,,40310,40310,22230.02,"From ""item group"" in trade definitions"
566,1904,Animal fats,Animal oil,,Non crops,,,1129,"Fat, camels",,,1,,150600,150600,21519.02,"From ""item group"" in trade definitions"
567,1904,Animal fats,Animal oil,,Non crops,,,869,"Fat, cattle",,,1,,150200,150290,21512,"From ""item group"" in trade definitions"
568,1904,Animal fats,Animal oil,,Non crops,,,871,"Fat, cattle butcher",,,1,,150200,150290,21512.01,"From ""item group"" in trade definitions"
