FCL Item code,FCL Title,Group,Scientific Name,Common Name,Definition
0821,Fibre crops nes,9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN,"Including among all: 
Lygeum spartum; Stipa tenacissima 
Sansevieria spp. 
Neoglaziovia variegata 
Furcraea macrophylla 
Furcraea gigantea 
Phormium tenax 
Samuela carnerosana","
alfa, esparto 
bowstring hemp 
caroa 
fuque fibre 
Mauritius hemp 
New Zealand flax 
palma ixtle","Other fibres that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report vegetable fibres under this commodity heading that are classified individually by FAO. The fibre is obtained from the leaves, stalks or fruit of the plant. In instances where the fibrous part is normally used for other purposes, data cover only those fibres intended for spinning. For trade coverage see 0789."
0826,Tobacco leaves,13 - TOBACCO AND RUBBER AND OTHER CROPS,Nicotiana tabacum,,"Unmanufactured dry tobacco, including refuse that is not stemmed or stripped, or is partly or wholly stemmed or stripped."
0828,Cigarettes,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,Includes cigarettes of tobacco substitutes.
0829,Cigars and Cheroots,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,"Includes cigars, cheroots and cigarillos of tobacco substitutes."
0831,Tobacco Products nes,13 - TOBACCO AND RUBBER AND OTHER CROPS,,,"Includes smoking, chewing, snuff tobacco, homogenized or compressed tobacco, manufactured tobacco substitutes, tobacco extracts and essences."
0836,Natural rubber,13 - TOBACCO AND RUBBER AND OTHER CROPS,Hevea brasiliensis,Latex,"The liquid secreted by the rubber tree. Includes stabilized or concentrated latex and prevulcanized rubber latex. In trade figures, liquid weight is converted to dry weight at 60%."
0837,"Rubber, Natural (Dry)",13 - TOBACCO AND RUBBER AND OTHER CROPS,,,"In the form of sheets, crêpes, re-agglomerated granules, free-flowing powders, etc.; includes technically specified natural rubber (TSNR)."
0839,Natural gums,13 - TOBACCO AND RUBBER AND OTHER CROPS,"Including among all: 
Manilkara bidentata 
Manihot glaziovii 
Achras zapota 
Parthenium argentatum 
Palachium gutta 
Dieva costulana","
balata 
ceara 
chicle gum 
guayule 
gutta-percha 
jelutong","Extracted from the latex of trees of various species. Although similar to rubber in many ways, natural gums are usually less elastic."
0840,"Compound Feed, Cattle",11 - FODDER CROPS AND PRODUCTS,,,Prepared animal feed designed to provide a balanced diet (complete feed).
0841,"Compound Feed, Poultry",11 - FODDER CROPS AND PRODUCTS,,,See 0840.
0842,"Compound Feed, Pigs",11 - FODDER CROPS AND PRODUCTS,,,See 0840.
0843,Pet Food,11 - FODDER CROPS AND PRODUCTS,,,"International trade classifications cover only dog and cat food. FAO trade data also cover food for other pets (i.e. fish, birds, etc.), whenever possible."
0845,Compound Feed nes,11 - FODDER CROPS AND PRODUCTS,,,See 0840. See general note in the introduction.
0846,Gluten Feed and Meal,11 - FODDER CROPS AND PRODUCTS,,,"Generally, by-products of the wet milling of maize. Gluten feed consists of fibres, spent germ and steep liquor. Gluten meal contains endosperm protein fractions that remain following starch recovery (see Group 1)."
0849,Feed Yeast,11 - FODDER CROPS AND PRODUCTS,,,Inactive dried yeast.
0850,Feed Supplements,11 - FODDER CROPS AND PRODUCTS,,,Prepared animal feed that supplements the basic farm produced feed with organic or inorganic substances.
0851,Non-Protein Nitrogens,11 - FODDER CROPS AND PRODUCTS,,,A mixture of different nutrients or substances that are used in making complete or supplementary feeds.
0852,Other Concentrates nes,11 - FODDER CROPS AND PRODUCTS,,,See 0851.
0853,Vitamins,11 - FODDER CROPS AND PRODUCTS,,,See 0851.
0854,Feed Additives,11 - FODDER CROPS AND PRODUCTS,,,See 0851.
0855,Feed Minerals,11 - FODDER CROPS AND PRODUCTS,,,See 0851.
0857,"Hay, non leguminous",11 - FODDER CROPS AND PRODUCTS,,,Hay that is mainly from grasses.
0858,"Hay (Clover, Lucerne, etc.)",11 - FODDER CROPS AND PRODUCTS,,,Hay from leguminous crops.
0859,Hay nes,11 - FODDER CROPS AND PRODUCTS,,,Hay from unspecified plants.
0862,Alfalfa Meal and Pellets,11 - FODDER CROPS AND PRODUCTS,,,"Alfalfa (lucerne) dried, whole, cut, chopped, milled, pressed or pelletized."
0866,Cattle,16 - LIVESTOCK,"Bos taurus
Bos indicus
subgenus Bibos
Poephagus grunniens","common ox
zebu, humped ox
Asiatic ox
Tibetan yak","Animals of the genus listed, regardless of age, sex, or purpose raised. Data are expressed in number of heads."
0867,Meat of cattle,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat of bovine animals, fresh, chilled or frozen, with bone in. Common trade names are beef and veal."
0868,"Offals of cattle, edible",17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Fresh, chilled or frozen."
0869,Fat of cattle,14 - VEGETABLE AND ANIMAL OILS AND FATS,,,"Unrendered slaughter fats from bovine animals, including edible and inedible fats that are removed in the course of dressing the carcass."
0870,"Meat of cattle, boneless",17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Boneless meat of bovine animals, whether fresh, chilled or frozen."
0871,"Cattle, Butcher Fat",14 - VEGETABLE AND ANIMAL OILS AND FATS,,,Unrendered fats that are removed during butchering.
0872,"Beef and Veal, Dried, Salted, Smoked",17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat of bovine animals, whether salted, in brine, dried or smoked.Includes edible flours and meals."
0873,Meat Extracts,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,Extracts obtained by boiling meat under pressure and concentrating the resulting liquid after the fat has been removed. Includes juices obtained by pressing raw meat. Whenever possible trade data exclude fish extracts.
0874,Sausages of Beef and Veal,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Preparations of meat or offal, whether chopped, minced or of blood.They may be raw, cooked or smoked and contain other ingredients, andare then enclosed in natural or artificial casings."
0875,Beef and Veal Preparations nes,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Meat and offal (o/t liver) that are boiled, steamed, grilled, fried,roasted or otherwise cooked. Includes prepared meals that contain morethan 20% of meat and offal by weight."
0877,Homogenized Meat Preparations,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,Preparations used in infant or dietetic food.
0878,Liver Preparations,17 - PRODUCTS FROM SLAUGHTERED ANIMALS,,,"Liver of any animal, excluding fatty livers of code 1060."
0882,"Cow milk, whole (fresh)",18 - PRODUCTS FROM LIVE ANIMALS,,,"Production data refer to raw milk containing all its constituents. Trade data normally cover milk from any animal, and refer to milk that is not concentrated, pasteurized, sterilized or other-wise preserved, homogenized or peptonized."
0883,Standardized Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,Milk in which the fat content is adjusted to a predetermined value without altering any other constituents.
0885,"Cream, Fresh",18 - PRODUCTS FROM LIVE ANIMALS,,,That portion of milk which is rich in milk fat and is separated by skimming or centrifuging.
0886,Butter of Cow Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,Emulsion of milk fat and water that is obtained by churning cream. Trade data cover butter from the milk of any animal.
0887,Ghee from Cow Milk,18 - PRODUCTS FROM LIVE ANIMALS,,,Butter from which the water has been removed. Very common in hot countries. Includes also anhydrous butterfat or butter oil.
0888,Skim Milk of Cows,18 - PRODUCTS FROM LIVE ANIMALS,,,Milk from which most of the fat has been removed.
0889,"Whole Milk, Condensed",18 - PRODUCTS FROM LIVE ANIMALS,,,Milk and cream from which water has been partly removed after heat-treating and concentrating. Normally sucrose is added to give the product stability and bacteriological safety.
0890,"Whey, Condensed",18 - PRODUCTS FROM LIVE ANIMALS,,,Whey paste.
0891,Yoghurt,18 - PRODUCTS FROM LIVE ANIMALS,,,A fermented milk food.
0892,"Yoghurt, Concentrated or Unconcent",18 - PRODUCTS FROM LIVE ANIMALS,,,"Includes additives such as sugar, flavouring materials, fruit or cocoa."
0893,"Buttermilk, Curdled Milk, Acidified Milk",18 - PRODUCTS FROM LIVE ANIMALS,,,Residue from butter making. Includes kephir.
